index,lower Scaled Intensity,upper Scaled Intensity,Forecast
2025-01-01,0.9970348428310251,1.0003186015296859,6.31792238285476
2025-01-02,0.9969157154304085,1.0004377289303026,6.31792238285476
2025-01-03,0.996804151287449,1.000549293073262,6.31792238285476
2025-01-04,0.9966988701321573,1.0006545742285538,6.31792238285476
2025-01-05,0.9965989166793129,1.0007545276813983,6.31792238285476
2025-01-06,0.9965035556713727,1.0008498886893384,6.31792238285476
2025-01-07,0.9964122068566348,1.0009412375040763,6.31792238285476
2025-01-08,0.9963244027660396,1.0010290415946714,6.31792238285476
2025-01-09,0.9962397602186974,1.0011136841420136,6.31792238285476
2025-01-10,0.9961579604651133,1.0011954838955979,6.31792238285476
2025-01-11,0.9960787349683448,1.0012747093923664,6.31792238285476
2025-01-12,0.9960018549819001,1.001351589378811,6.31792238285476
2025-01-13,0.995927123754226,1.001426320606485,6.31792238285476
2025-01-14,0.9958543705933672,1.001499073767344,6.31792238285476
2025-01-15,0.9957834462764402,1.001569998084271,6.31792238285476
2025-01-16,0.995714219449255,1.001639224911456,6.31792238285476
2025-01-17,0.9956465737669309,1.0017068705937802,6.31792238285476
2025-01-18,0.995580405597223,1.001773038763488,6.31792238285476
2025-01-19,0.9955156221568539,1.0018378222038573,6.31792238285476
2025-01-20,0.9954521399850651,1.001901304375646,6.31792238285476
2025-01-21,0.9953898836826826,1.0019635606780286,6.31792238285476
2025-01-22,0.9953287848623362,1.0020246594983748,6.31792238285476
2025-01-23,0.9952687812681641,1.0020846630925468,6.31792238285476
2025-01-24,0.995209816032709,1.002143628328002,6.31792238285476
2025-01-25,0.9951518370457461,1.0022016073149649,6.31792238285476
2025-01-26,0.9950947964151012,1.0022586479456097,6.31792238285476
2025-01-27,0.9950386500035847,1.0023147943571262,6.31792238285476
2025-01-28,0.994983357029305,1.002370087331406,6.31792238285476
2025-01-29,0.9949288797190725,1.0024245646416385,6.31792238285476
2025-01-30,0.9948751830065211,1.00247826135419,6.31792238285476
2025-01-31,0.9948222342680902,1.0025312100926207,6.31792238285476
2025-02-01,0.994770003091222,1.0025834412694892,6.31792238285476
2025-02-02,0.9947184610700949,1.002634983290616,6.31792238285476
2025-02-03,0.9946675816249991,1.0026858627357118,6.31792238285476
2025-02-04,0.9946173398420921,1.002736104518619,6.31792238285476
2025-02-05,0.9945677123307926,1.0027857320299185,6.31792238285476
2025-02-06,0.9945186770964961,1.0028347672642148,6.31792238285476
2025-02-07,0.9944702134266491,1.0028832309340618,6.31792238285476
2025-02-08,0.9944223017885031,1.002931142572208,6.31792238285476
2025-02-09,0.9943749237371214,1.0029785206235897,6.31792238285476
2025-02-10,0.9943280618324079,1.0030253825283033,6.31792238285476
2025-02-11,0.9942816995640981,1.0030717447966129,6.31792238285476
2025-02-12,0.9942358212838014,1.0031176230769097,6.31792238285476
2025-02-13,0.9941904121432965,1.0031630322174145,6.31792238285476
2025-02-14,0.9941454580383949,1.0032079863223162,6.31792238285476
2025-02-15,0.9941009455577678,1.0032524988029432,6.31792238285476
2025-02-16,0.9940568619362117,1.0032965824244995,6.31792238285476
2025-02-17,0.9940131950118893,1.0033402493488217,6.31792238285476
2025-02-18,0.9939699331871433,1.0033835111735678,6.31792238285476
2025-02-19,0.9939270653925207,1.0034263789681903,6.31792238285476
2025-02-20,0.9938845810536955,1.0034688633070155,6.31792238285476
2025-02-21,0.9938424700610068,1.0035109742997044,6.31792238285476
2025-02-22,0.9938007227413657,1.0035527216193454,6.31792238285476
2025-02-23,0.9937593298323085,1.0035941145284024,6.31792238285476
2025-02-24,0.9937182824580001,1.0036351619027108,6.31792238285476
2025-02-25,0.9936775721070097,1.0036758722537014,6.31792238285476
2025-02-26,0.9936371906117041,1.003716253749007,6.31792238285476
2025-02-27,0.993597130129114,1.003756314231597,6.31792238285476
2025-02-28,0.9935573831231492,1.0037960612375618,6.31792238285476
2025-03-01,0.9935179423480465,1.0038355020126646,6.31792238285476
2025-03-02,0.9934788008329475,1.0038746435277637,6.31792238285476
2025-03-03,0.9934399518675155,1.0039134924931954,6.31792238285476
2025-03-04,0.9934013889885047,1.0039520553722063,6.31792238285476
2025-03-05,0.9933631059672061,1.003990338393505,6.31792238285476
2025-03-06,0.9933250967977034,1.0040283475630076,6.31792238285476
2025-03-07,0.9932873556858733,1.0040660886748378,6.31792238285476
2025-03-08,0.9932498770390742,1.0041035673216367,6.31792238285476
2025-03-09,0.9932126554564721,1.0041407889042389,6.31792238285476
2025-03-10,0.9931756857199554,1.0041777586407556,6.31792238285476
2025-03-11,0.9931389627855955,1.0042144815751155,6.31792238285476
2025-03-12,0.9931024817756139,1.004250962585097,6.31792238285476
2025-03-13,0.9930662379708193,1.0042872063898918,6.31792238285476
2025-03-14,0.9930302268034817,1.0043232175572292,6.31792238285476
2025-03-15,0.9929944438506133,1.0043590005100977,6.31792238285476
2025-03-16,0.9929588848276268,1.0043945595330843,6.31792238285476
2025-03-17,0.9929235455823481,1.004429898778363,6.31792238285476
2025-03-18,0.9928884220893562,1.0044650222713547,6.31792238285476
2025-03-19,0.9928535104446324,1.0044999339160787,6.31792238285476
2025-03-20,0.9928188068604943,1.0045346375002169,6.31792238285476
2025-03-21,0.9927843076608002,1.0045691366999108,6.31792238285476
2025-03-22,0.9927500092764038,1.0046034350843072,6.31792238285476
2025-03-23,0.9927159082408444,1.0046375361198665,6.31792238285476
2025-03-24,0.9926820011862583,1.0046714431744528,6.31792238285476
2025-03-25,0.9926482848394957,1.0047051595212153,6.31792238285476
